,DT_score_c45,RandomForest_gini,LassoLars,multi_Lasso,SVM,ensemble
CMC1,0.9917274874377068,0.00952543194717756,0.792282585682869,0.792282585682869,,9.05626872974398
LLGL2,0.9917274874377068,0.008092637743614073,,,,2.2815370049651813
SUOX,0.9917274874377068,0.00928263412287606,,,,3.1076580010840043
NDUFV1,0.9917274874377068,0.008283605697473257,,0.8046344180694609,,5.100454120141257
SPTBN2,0.9917274874377068,,0.4844197116057926,0.4844197116057926,,3.1477762145276045
NDUFA8,0.9608577419651076,,,0.4865114722927243,,0.5088154268298167
GPD1L,0.9607093129221038,0.009154109878430175,0.5455567611855777,0.5455567611855777,,3.9009975707018074
PFKP,0.9511299682238764,0.007345078689252338,0.16399240514908256,0.4374991537483199,,-0.945598239751675
PYGL,0.9510112326231257,0.006891184189016278,,,,-0.22430457180542412
ACOT11,0.9504946969655901,0.008514921426470218,,,,0.8817202131376776
NDUFS5,0.9504912899960003,0.009551151988427018,0.18248378868367915,0.7198844431637673,,3.153706163910625
NDUFA3,0.9504912899960003,0.005767723989641401,,,,-1.0255830250498366
NDUFA10,0.9504912899960003,0.007731084161311824,,0.6943817937092703,,2.0534784848676737
FHIT,0.9504912899960003,,0.2331718879447914,0.45663263739380805,,-0.26908909651994006
MPP7,0.9497133209973615,0.0069340007116819175,,,,-0.24787131544567148
AIF1L,0.9489679680832264,0.009451804104273959,,,,1.4694383634298858
PARD3B,0.9489314058032992,,0.3422309380931372,,,0.6852211208916452
CNP,0.9486130692514934,0.008407125598546923,,,,0.7296283760590306
PDHA1,0.932076185955886,0.009331740954557927,,0.5098990037171592,,0.7850262447941423
RASSF8,0.9277824996634687,0.008166079945190101,0.44467351306360375,0.44467351306360375,,0.3813688254594883
PFKFB2,0.9250318866497272,,,,,-0.848829723972345
NDUFA12,0.9250189848545073,0.0063135292812657425,,,,-1.6925394528862863
NDUFS4,0.9250189848545073,,0.58792336015374,0.58792336015374,,1.9290602547666968
SIGIRR,0.9249121621219405,,,,,-0.8537454876468893
COX6B1,0.923946712474913,,0.2031360883462027,0.6212238101223138,,-0.08731610713899762
GGH,0.923468687963323,0.008176657574225839,,,,-0.4627694186219755
NDUFS6,0.9234001208155433,,0.2277943839390022,0.5346290564185313,,-0.7266692747958445
P4HA1,0.9229005144544915,,,,,-0.9363416332524198
TJP3,0.9227888337307141,0.00710018323169472,,,,-1.2379950858026048
HK2,0.9201948998353972,0.00658507013469019,,,,-1.7021018481409742
NDUFS2,0.9174993082740099,,,,,-1.158109500134536
NDUFS1,0.9174993082740099,0.005828108349142609,,,,-2.338279111773061
CHP1,,0.01011162241069209,,0.403683965195375,,0.951279709874448
LARS2,,0.007677241624939647,,,,0.10353834779686871
NDUFS8,,0.007143180379722056,,,,-0.26721841716172656
ACAD10,,0.006998091914430264,,,,-0.3679419399900411
PIP4K2C,,0.006278908026050331,,,,-0.867214812256685
CHL1,,0.006256602974986263,,,,-0.8826994568527947
CASR,,0.006236944298889289,,,,-0.896346931217113
NDUFS7,,0.006086900404311811,,0.45324354938346173,,-1.406614942718214
TINAG,,0.006035822361703807,,0.48494648315772937,,-1.163069854440594
ENO2,,0.005842762446361921,,,,-1.1699964232129028
NDUFA4,,0.0057972117467571084,0.1130068121253616,,,-1.9984013402696137
SIAE,,,0.443618238254623,0.443618238254623,,0.6588609582493696
PAPLN,,,0.3748260997244618,0.3748260997244618,,-0.3515604152690138
GPX3,,,0.299407613651392,,,0.30064169089590564
MAP6,,,0.2442973776920661,0.5060935727514775,,0.035190374340962775
PSMB9,,,0.20504186763667942,0.3933863165552137,,-1.1878147429757977
FRAS1,,,0.1879179724743969,,,-0.3557473611831625
PALM3,,,0.17807634403054234,0.39367598137741694,,-1.344023539446948
F9,,,0.17350120113901787,0.3842214490482858,,-1.4541649125093221
LAD1,,,0.16948919179933913,0.42243586780260023,,-1.1414759161122365
CORO2B,,,0.15663963860250382,0.471548492972961,,-0.7849068072697241
SFRP1,,,0.15449081184588148,,0.00044050181649651356,-0.20530943600607254
CDK18,,,0.15075822090150187,,,-0.5745233286446054
KCP,,,0.13502213378131095,,0.0004072328932475199,-0.563338792365252
RAB25,,,0.1267753678937616,,0.00036746372661903887,-0.9028581169741053
CGNL1,,,0.12050964361265996,,,-0.7526101424844928
GIT2,,,0.10968796260331362,,,-0.8163221866227476
GLA,,,0.10700309216579687,,,-0.8321292117672537
CCND1,,,0.10074796808820104,,,-0.8689559063425099
PHYHD1,,,0.09430558527288005,,,-0.9068850763051769
RP2,,,0.09417861411578682,,,-0.9076326119198399
FGF1,,,,0.5146929279840253,,0.13468653792651586
PLCD1,,,,0.4690983562757577,,-0.2665726492131255
NDUFA6,,,,0.44088099824240456,,-0.514902082377609
CLIC5,,,,0.4313490993996486,,-0.5987884275770751
NPNT,,,,0.4288345941222137,0.0003664828274353043,-0.8152312841254006
COL4A4,,,,0.42287444892097203,,-0.6733703621135874
CTSA,,,,0.4208752072739873,,-0.6909648705848522
LAMC3,,,,,0.0004949506489688625,0.74560766159537
UMOD,,,,,0.0004914022265980228,0.7196460003024179
ITGB6,,,,,0.00044204097494047036,0.3584995632094948
SLPI,,,,,0.00044007233368909557,0.3440962053128889
NTN4,,,,,0.00043896561615094996,0.33599902215103555
ERMP1,,,,,0.00041782628324674913,0.18133530304930914
FAM169A,,,,,0.0004046849292242456,0.08518796025643756
CTNNAL1,,,,,0.0004045878597422496,0.08447776153991146
ADK,,,,,0.00039936290247285773,0.046249907941411296
CRISPLD2,,,,,0.00038739726741121816,-0.04129540999430411
MACROH2A2,,,,,0.0003860675361109926,-0.0510242500305945
EPS8L1,,,,,0.0003854718539520237,-0.055382496268836345
NR2F1,,,,,0.0003807224048054026,-0.09013134440088733
FBLN5,,,,,0.00038056050347015245,-0.09131587859365481
INPP4B,,,,,0.0003761911858699254,-0.12328353400881002
CPXM1,,,,,0.0003754081374042476,-0.12901262624116555
NAALADL2,,,,,0.00037513427203205774,-0.1310163336044968
SPON1,,,,,0.00037044566483799294,-0.1653200379516226
MFAP4,,,,,0.00037037505475771745,-0.16583664922175914
TACSTD2,,,,,0.00036785935038,-0.18424253728745865
TWSG1,,,,,0.00036768983287120715,-0.18548279441768944
WFDC2,,,,,0.0003665635020667493,-0.19372347599197268
GALNT3,,,,,0.0003645699675714739,-0.2083089627050186
MT2A,,,,,0.00036369459952829633,-0.21471350147425022
C1orf116,,,,,0.00036272573290120115,-0.22180211285755022
RAB11FIP4,,,,,0.0003623274060578699,-0.22471642956219032
GRB14,,,,,0.00036150239359676795,-0.2307525469797811
PRKAR2B,,,,,0.0003570461746361549,-0.26335600711276774
