,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,CAPRIN1,HSPA12B,HSPA12B,ITIH5,PALM2AKAP2,HYDIN,TNS1,TTC7B
1,SPINT1,PALM2AKAP2,,PPM1F,PPM1F,RELN,,TARBP2
2,RPL23,MYO1C,,TMOD2,TNS1,CILP2,,ARPC1A
3,DDX27,TNS1,,STARD13,CAVIN2,CXCL13,,ADH1C
4,ATXN2L,EML1,,STX11,ITIH5,SCUBE1,,G3BP2
5,NPM1,ADIRF,,ADH1B,RASIP1,MMP19,,TNS1
6,YWHAZ,CLIC5,,CNRIP1,SHANK3,MOXD1,,PALM2AKAP2
7,GOLPH3L,ADH1B,,PALM2AKAP2,MMRN2,HTRA1,,DKC1
8,PRRC2A,EHD2,,WWC2,ADH1B,C1orf127,,EHD2
9,DDX21,ITIH5,,MRAS,ABLIM3,CPZ,,THBD
10,PBXIP1,PPM1F,,ARHGEF15,ARHGAP6,MS4A1,,CLIC5
11,PDXDC1,ACTN2,,SFTPC,CAVIN1,CR2,,SCYL3
12,SQSTM1,CNRIP1,,SERPINA7,TMOD2,POU2F2,,TNNC1
13,AGR2,CAVIN2,,QKI,CNRIP1,TXNIP,,ABLIM3
14,TAX1BP1,STARD13,,PTPRS,SPTAN1,PLA2G2D,,TMED3
15,TOP1,EHD4,,PRKG2,SORBS3,SERPINE2,,KIF26B
16,GPI,JAM2,,ABCA8,FGD5,GDF15,,PTPRS
17,PRPF6,SHANK3,,CDC42EP2,MYO1C,CYP4V2,,HMGA2
18,GFPT1,PEAK1,,SASH1,RTKN2,MMP10,,SEMA5A
19,MCM2,CAVIN1,,LDB3,ESAM,GAS2,,RTKN2
20,MCM3,CAPRIN1,,RRBP1,ADGRL2,LSS,,GRK5
21,NAT10,SORBS3,,GRK5,PTPRS,MEGF6,,CAND2
22,KHDRBS1,GOLPH3,,FABP4,CLEC14A,IGHV1-69D,,GON7
23,WDR43,PTPRS,,RILP,TNS2,ADAMTS4,,STARD13
24,MCM4,TNNC1,,TBCEL,JCAD,IL3RA,,AFTPH
25,FKBP3,DKC1,,A2M,PECAM1,LOXL1,,SULF1
26,MCM6,GRK5,,RPL30,AOC3,SUSD5,,SNTA1
27,GOLPH3,RTKN2,,ABCA3,HSPB6,WWP1,,FABP4
28,SYNCRIP,ADGRL2,,COL6A6,CDH5,ADAMTS7,,ADH1A
29,TRMT5,ABLIM3,,SERPIND1,LDB3,GREM1,,HNRNPK
30,JPT1,ABCA8,,AP5B1,EHD4,ASPN,,LRMDA
31,EML1,PDLIM2,,HDLBP,CORO2B,CFHR5,,ADIRF
32,PHF6,FKBP3,,CCDC22,AHNAK,RAB27B,,SLC25A32
33,HTATSF1,TMOD2,,RPS16,BCAM,SHF,,NME1
34,ERH,CASKIN2,,GOLPH3,FERMT2,R3HDM1,,LDHA
35,GOLM1,CD36,,RPL37A,KANK3,SPINK1,,PCMT1
36,PAPOLA,KANK3,,SCUBE1,DPYSL2,TSSC4,,STX11
37,ADNP,ARHGAP6,,PHF5A,ILK,TRAK1,,CNRIP1
38,SGPL1,BZW1,,JAK2,QKI,MUC5AC,,OPA1
39,RBBP6,ERG,,LIN7A,EHD2,PER3,,NCAPH2
40,PLIN2,ASPA,,RASSF8,ARHGAP31,FHL3,,USP12
41,NSUN2,LIMS2,,PCDH12,ARHGEF15,ALOX5AP,,NEBL
42,EIF6,COPA,,PALMD,ABCA8,DHRSX,,IGKV1-16
43,ARFGAP1,RASIP1,,RPGR,PEAK1,VCAN,,PEAK1
44,SUPT16H,AHNAK,,TNXB,HSPA12B,SCEL,,SMARCC1
45,TRMT1L,SYNM,,SDF4,MRAS,CIT,,GOLPH3
46,PDS5A,NCL,,RTRAF,TLN1,LUM,,ACSL1
47,NAMPT,QKI,,GOLPH3L,RIPOR1,PODNL1,,CD180
48,FUBP1,CDC42EP2,,PLLP,SPTBN1,KATNAL1,,DAB2
49,CWC22,STX11,,GLIPR2,GRK5,ANXA10,,TSPAN6
50,PDCD11,RPL30,,DUOX1,TNXB,HMCN1,,AP1G2
51,ILF3,BZW2,,ARCN1,NEBL,PCSK5,,PPM1F
52,P4HB,CDH5,,ALOX5AP,LIMS2,NAAA,,SDF2L1
53,PRPF40A,PECAM1,,SFTPA2,PYGM,ASB6,,PNO1
54,TIMM9,ESAM,,ACAT2,ARHGEF17,DCN,,DOK3
55,PCP4L1,RSU1,,KATNAL1,ADARB1,NCEH1,,NDUFB2
56,SRRT,EPRS1,,SYNE3,GNAQ,GORASP2,,CALCRL
57,PRPF3,WWC2,,SNRK,ADIRF,MINK1,,EEF1A1
58,DPY30,EIF5B,,IGHV3-23,ARAP3,THY1,,AMOTL2
59,SF3A3,RIPOR1,,AFG2B,DNM3,MFAP2,,IGLC7
60,PCNA,AGER,,ATG12,STX11,RRBP1,,PYGM
61,NUCB2,RPS5,,IGKV3D-15,MYOZ1,PNMA2,,VLDLR
62,PRPF4,MYOZ1,,SH2D3C,GUCY1A2,ANKS1A,,DDX46
63,NUP93,JCAD,,POLR2M,PGM5,FABP4,,JADE1
64,NCL,LUC7L3,,PARD6B,TGFBR2,SLC1A3,,SRA1
65,MLEC,RPS2,,CRTAP,EPB41L2,FKBP7,,CD3G
66,NASP,SASH1,,ANKRD46,PPP1R14A,IGKV1D-8,,PPP1R14A
67,ELOB,ILF3,,OSCAR,PDLIM2,PPIB,,C1QC
68,DDX18,SMARCC1,,FKBP1A,AGER,FLVCR1,,USP16
69,LAD1,ATXN2L,,TMEM106A,CLIC5,CRACD,,CHIT1
70,BZW2,ACBD3,,GJA5,ACTN2,RPL37A,,LAMC3
71,C1orf35,MMRN2,,GFPT1,EHD1,WIPI2,,MFN1
72,NENF,LDHA,,PRF1,DOCK4,MAPKAP1,,ZNF280D
73,PLOD2,PGM5,,C7,PCYOX1,AFG2B,,OPLAH
74,SLC6A4,PMM2,,CNPY3,RPS5,ARHGDIB,,WDR20
75,ZNF622,RACK1,,GDF15,PTPN21,PARD6B,,U2SURP
76,ZC3H15,LDB3,,MS4A1,AMOTL1,LTBP3,,POTEI
77,GALNT2,SEC13,,ANKS1A,GNG11,NAIP,,CFAP298
78,ADAR,NEBL,,ADCY7,PTPRM,GGT5,,KHSRP
79,GART,SF3B2,,SH3D19,RASSF8,TFRC,,APBB2
80,TRIP11,ARHGAP31,,VPS28,RSU1,BLOC1S5,,EPB41L2
81,MYO6,PRKDC,,A1BG,PDE5A,SYNJ1,,AK2
82,ACIN1,ZC3H15,,TRIM2,SASH1,ZNF48,,MAN1A1
83,SF3B4,COL6A6,,SELENOH,TTC7B,MOSPD2,,AOAH
84,SLC16A3,YTHDF2,,PBXIP1,PALMD,RPGR,,NUP43
85,HOOK1,EHD1,,NDRG4,CASKIN2,GAPVD1,,CASP6
86,QKI,PPM1G,,CYP51A1,PDE2A,HSPB7,,PPP1R16A
87,WDR36,COPB1,,GREM1,EML1,SOSTDC1,,GRHL2
88,MAP7,SF3B1,,ATP1B1,PLCL1,CTNNAL1,,CFHR3
89,HNRNPF,RPL23,,BGN,ADD1,FBLIM1,,HERPUD1
90,CSE1L,DDX23,,CDH1,TOM1L2,IGHG3,,MGP
91,POLB,CAV1,,CILP2,TMOD1,PIGO,,TMOD1
92,CEBPZ,GNG11,,ASPN,ERG,SCAMP2,,MMP7
93,ZBTB7B,P4HB,,ACP5,STARD13,DENND4C,,RBP1
94,TRA2B,LAMB2,,DNAL1,KCTD12,EMILIN1,,FNIP1
95,ESF1,DNM3,,RAB25,COL6A6,ACADM,,PPP1R13L
96,SSRP1,SF3A2,,LSS,ARHGEF26,WNT2,,C1orf122
97,RPL5,FGD5,,AGTPBP1,WWC2,SCLY,,UNC13D
98,UBAP2L,TNS2,,HTATSF1,MPDZ,TP53BP2,,EOGT
99,CIAPIN1,RPS21,,ADH1A,CRYAB,MLPH,,MUC5AC
