,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,DPP9,TJP3,NDUFA4L2,TJP3,NDUFA10,LAMC3,NUDCD3
1,TJP3,TRADD,,SMARCC1,CMC1,UMOD,PFKP
2,P4HB,PRDX4,,PRKCZ,GPD1L,ITGB6,RECQL
3,NDUFB9,PLOD3,,UMOD,NDUFA3,MARF1,LLGL2
4,NDUFC1,CMC1,,ERMP1,NDUFS5,SFRP1,
5,NDUFA3,NDUFA4L2,,SFRP1,NDUFV1,NTN4,
6,NDUFA10,DOCK4,,NTN4,QARS1,INPP4B,
7,ACLY,DPP9,,NMNAT1,SPTBN2,SMARCC1,
8,FECH,PFKP,,SAT2,NDUFA4,ARID1B,
9,NDUFV1,PYGL,,LAMC3,NDUFA6,WFDC2,
10,HAO2,PARD3B,,NDUFAF8,GLB1,LAMA2,
11,NDUFS6,ERO1A,,CHP1,LARS2,DCDC2,
12,PSMD10,ANXA4,,ALKBH7,LAD1,CPXM1,
13,ACSF2,NCOR2,,GAK,NDUFA8,SLPI,
14,PLEKHA2,SPTBN2,,ACE,MPP7,RBM6,
15,FBP1,PSMB8,,LGALS3,NDUFS6,NR2F1,
16,ACOX1,PDK1,,CGNL1,NDUFS8,ERMP1,
17,TINAG,PSMD10,,LDLRAP1,GULP1,SHROOM2,
18,CD70,PSMB9,,TEFM,F9,KCP,
19,SLC22A8,ICAM1,,ISCU,RASSF8,TTC9,
20,EGFR,IKBIP,,FAM136A,PAPLN,MFAP4,
21,PFKP,AIF1L,,CTSC,SIAE,EYA3,
22,SLC22A6,P4HB,,TOMM34,KIF13B,ZMIZ1,
23,HSD3B7,ACLY,,TRAPPC9,SFRP1,MACROH2A2,
24,TAP1,LDHA,,FHIT,TJP3,SYNE2,
25,HK2,NUDCD3,,ASAP1,ACOT11,MT2A,
26,FBP2,P4HA1,,MARK3,ADH1C,ZCCHC24,
27,IPO9,GIT2,,PALM3,COL4A3,LASP1,
28,DIAPH1,IPO9,,ITGA4,NDUFS4,SVEP1,
29,DAO,QARS1,,ADK,RBP1,HGF,
30,SLC2A1,HK2,,THSD7A,PLCD1,NPNT,
31,SEMA5B,CNP,,RAB11FIP4,COL4A4,ITIH3,
32,CALCRL,PSMB10,,ITGB6,ACSL4,GRB7,
33,SCGN,NUDT9,,MAP6,NMNAT1,CIAO2A,
34,ICAM1,MPP7,,QARS1,PFKP,RAB11FIP4,
35,MTARC2,EGFR,,CAD,SMPD1,MARS1,
36,NCEH1,TPD52L2,,NAGA,MAP6,NUDT18,
37,VEGFA,PLEKHA2,,NHERF2,CORO2B,UBQLN1,
38,CAV1,PDHA1,,TRAF2,RAB25,ADK,
39,GRAMD4,GPD1L,,ATP6V1G2,GGH,GMDS,
40,HAPLN1,TSR1,,FRAS1,PALM3,TNRC6A,
41,HLA-F,EPB41L5,,MARS1,PLCL1,ZNF618,
42,RAP2B,PKM,,NOL10,KCP,FHOD3,
43,PLIN2,NDUFS5,,ENOSF1,NUDT9,MASP2,
44,CDH16,SLC16A3,,SCLY,AP2A2,PTBP3,
45,GBP5,GLB1,,SYNE2,SCPEP1,LUC7L,
46,PLEKHA7,NOL3,,RTRAF,AIF1L,MUC1,
47,PHKB,CAV1,,FGF1,EPCAM,POLR2M,
48,FTH1,NDUFA4,,SGSH,MTMR10,SCD5,
49,P4HA2,LLGL2,,PHACTR4,LLGL2,ADCK5,
50,TAPBP,GGH,,PCMTD1,TINAG,PTEN,
51,DCTPP1,GYS1,,AFAP1L2,SORT1,APIP,
52,CYP2J2,ENO2,,DYNLL2,MAP4K3,DCAF1,
53,NDUFS2,TYMP,,MYO6,COL18A1,SORT1,
54,NDUFA4L2,TNIP1,,SOS1,DHX30,COL4A1,
55,NDUFB11,SEMA5B,,LDHD,NTN4,LUC7L3,
56,ERO1A,NDUFA8,,NOS1AP,EPB41L5,PCMTD1,
57,C19orf33,EHBP1L1,,TGS1,GOLGA4,CTNNAL1,
58,PRR15,NMNAT1,,PRPF40B,STK33,LMO4,
59,GEMIN5,DARS1,,PHRF1,NEBL,ERBB2,
60,SLC12A1,SH3GLB1,,ANG,PRKAR2B,CPNE2,
61,FAF2,PLCL1,,MRPL58,NDUFS7,TACSTD2,
62,LRRK2,PFKFB2,,SAFB2,NDUFA2,TAB3,
63,MCM6,CTSA,,SORT1,PHYHD1,ACTR8,
64,FLT1,IP6K1,,SNX1,STRBP,LGALS3,
65,BPGM,PAPLN,,CMC1,PIP4K2C,SBSPON,
66,PTGS1,P4HA2,,CORO2B,CLIC5,RALGAPA2,
67,APOL2,KIF13B,,PICALM,PARD3B,TOP2B,
68,LOX,LARS2,,SHROOM2,GPX3,FBLN5,
69,DIAPH2,COA5,,CLUH,CLASP2,UBL5,
70,GBP1,CDK18,,PTBP2,KTN1,PDXP,
71,HPD,PPIP5K2,,DDX55,FAM136A,PTK7,
72,KIF2A,COLGALT1,,TUBB6,COA5,TCEAL3,
73,GRB14,TPP2,,NOA1,NPNT,LYPLA2,
74,RAD23A,CASP8,,SMCR8,SEMA4D,PROM1,
75,ANGPT2,WDR48,,HSP90AA1,WDR48,C1orf198,
76,CA9,TMSB10,,PDLIM1,CTSH,PTN,
77,AHNAK2,NDUFA10,,KATNAL1,CGNL1,TJP3,
78,MSRA,SURF6,,RAPGEF3,EPB41L1,MTARC1,
79,BDH2,SIAE,,HPS6,NEU1,QARS1,
80,NT5DC3,NDRG1,,ABLIM1,NDUFS1,WLS,
81,AIF1L,RAP1GAP,,AATF,FGF1,CDK4,
82,CDK17,NDUFS3,,TRAPPC5,DYNC1LI1,MAGI2,
83,NDUFA2,SIGIRR,,PLA2G2A,PDHA1,FRAS1,
84,NDUFS3,NDUFS4,,DGCR8,PDHB,SOS1,
85,TJP1,TAP1,,DBI,PTPN23,EPS8L1,
86,ENPP3,NDUFV1,,HOXD8,FHIT,TGS1,
87,NDUFB4,BRIX1,,LRBA,LDLRAP1,STXBP4,
88,PM20D2,LPCAT1,,SPON1,MISP3,CIP2A,
89,CD93,IFI35,,TBK1,ATP6V1C2,CAMK4,
90,HLA-DRA,RIC8A,,SETD3,GPRC5C,MAP6,
91,ALDOC,DIAPH1,,RPS6KB2,SYNE2,COL18A1,
92,MGAT1,SCPEP1,,CAB39,GAK,TRAF4,
93,MID1,NDUFS7,,CIAO2A,PSMB9,CIRBP,
94,NEK6,CA9,,BAG4,TMOD3,TBK1,
95,EIF4EBP1,DIAPH2,,VAT1L,CTSA,YY1,
96,HSD17B7,PLCD1,,SLIT2,COX6B1,ZNF451,
97,CLEC14A,EBNA1BP2,,CAMK4,CAPS,ACSL4,
98,GYS1,SMYD2,,MRPS14,UMOD,CCAR2,
99,TPK1,GOLGA4,,ESRP2,TJP1,IRF2BPL,
