,Volcano Plot_p
NDUFA4L2,3.1992091167492496
NNMT,2.545262564464845
FTL,2.420215543696601
FABP7,2.3890927645918456
PLIN2,2.3284060910126536
FABP6,2.3023846074133067
HBE1,2.271024029862728
SCGN,2.21822342162258
RAB42,2.204855133709634
SEMA5B,2.1524579393719367
FCER1G,2.101643819551051
PLOD2,2.079310449691409
HAPLN1,2.0657736069436075
CA9,2.02057611233466
CD70,2.007811070974083
ENO2,1.9848373957409875
TMEM243,1.982517655713009
COL23A1,1.93281261362718
THBS2,1.9291872254263174
IL32,1.9212934844366938
AHNAK2,1.9092303062698124
SLC16A3,1.902582954590141
SLC2A1,1.8758397130332154
PFKP,1.858186258795977
HK2,1.854611902203338
FTH1,1.8447713196638547
TYROBP,1.8323849714950378
RHAG,1.82444360416902
HAVCR1,1.8050400272357512
NT5DC3,1.7696803664231708
SDS,1.7487722421119463
PYGL,1.7434316970394959
PNMA2,1.7196734965500098
PNCK,1.6743075029002252
TNFAIP6,1.673154865861485
POSTN,1.6714943055549187
SCARB1,1.6705920009391435
LOXL2,1.6678561923930844
NOL3,1.655735560820307
CYP2J2,1.6525205853533456
ANGPTL4,1.6432948624553458
HLA-DQA1,1.628721818953246
ITGAX,1.6241780020698346
SLC4A1,1.615274822287461
CDH4,1.6151127706190693
GYPA,1.6076243952195715
P2RX7,1.5706673680011278
SPTA1,1.5685598782122812
GBP5,1.5674784524808993
ADAMTS7,1.5552572979482087
LOX,1.5442054458023877
LPCAT1,1.536994874844048
FCGR3A,1.5345230484689296
H1-5,1.5332396241830422
MFSD13A,1.5328949954140787
CTHRC1,1.527267649162014
SERPINE1,1.5245289818485876
P4HA1,1.5230244337529801
IGF2BP3,1.520375880353347
INTU,1.5165038191981048
CAV1,1.5148287927569535
IKBIP,1.511075009521766
OMD,1.5100760936510793
P4HA2,1.4980858575649063
ESM1,1.4882189377100623
NEFL,1.487090066474193
SLC2A3,1.4857586963749914
IDO1,1.4733066181594932
TMSB10,1.4723761192638483
TGM2,1.461785290769909
ANXA4,1.4566113094593223
ANGPT2,1.4536704153815623
CYBB,1.4462356172107709
ALOX5,1.4417912341728876
SPTB,1.4391763742833035
SCD,1.4350175243305836
COL21A1,1.4331659352987416
SPATA18,1.4295670799064626
TYMP,1.4255027525001143
MT3,1.4187187032932231
SLC43A3,1.4131536698688751
GBP2,1.411671672364502
ENPP3,1.4064676267306335
EPX,1.3957740446298006
ANK1,1.3920771899613442
VEGFA,1.3768760477637008
LDHA,1.3719423538719893
ARHGAP22,1.3697787551852063
PARVG,1.354756551783133
EPB42,1.3491267346163027
DCLK1,1.344818615695406
C4orf3,1.3425880229147964
GPX8,1.3424823403081434
APBB1IP,1.3390688768320396
HBD,1.337417089086989
HLA-DQB2,1.3370071182404544
MAP3K7CL,1.3347138836897896
EMILIN2,1.3334008396298611
FCGR1A,1.333093670739981
C19orf33,1.3315859998625257
ABCG1,1.3263860007784871
COL3A1,1.3234183700302091
GINS1,1.3224068776871365
CCND1,1.3203018674133564
PDK1,1.3193743184485962
C5AR1,1.3178702182283373
LRRC25,1.3175674543335936
ITGB2,1.3159232282213187
GYS1,1.3158302693310995
GBP1,1.3124326748399286
LAIR1,1.3085159696010316
HBG2,1.3038419014078282
TAP1,1.3024292107836666
COL5A3,1.292778087438117
ERO1A,1.2902109380112436
PLOD3,1.284772270194072
FKBP10,1.27945403202123
BTN3A2,1.278998679499025
VCAM1,1.2759564853495609
NUPR1,1.275932497873701
CAV2,1.2714062710863763
MCAM,1.2661277222559768
GIMAP2,1.2620479861421388
SIRPA,1.2615862666143873
CSTA,1.2602665010507443
COL8A1,1.2592133054130588
PTPRC,1.2553248653681308
LOXL3,1.2513600296606082
PSMB10,1.2403765226876575
LCP2,1.2401334125825751
ICAM1,1.239347261962929
ALDOC,1.2389955364156724
FXYD1,1.237960781862037
FYB1,1.2363405834328187
DDB2,1.234049753801843
ITGAL,1.2322954662124117
BIRC3,1.22952952972064
SFN,1.2287740085089531
VCAN,1.2252249143195166
S100A9,1.2223291960756326
APOBR,1.2203563600584215
GBP7,1.2098808339442546
PKM,1.2090617893292612
CSPG4,1.2079807932333553
PYCARD,1.197148115492519
PTGS1,1.1966484671123183
LGALS9,1.1956164490524284
NDRG1,1.194365497901498
SEC14L4,1.1936886189874274
RPL37,1.1812936660123332
ADSS1,1.1796055763616091
AHSP,1.174989070414583
CD48,1.1745007409861181
NCKAP1L,1.1717011033954676
DHCR24,1.1671007574696657
CDH13,1.1659444919061401
HPCAL1,1.163979252344552
ACLY,1.1636168729318601
ARHGAP30,1.163043773638445
VWF,1.162484521434567
MMP14,1.1616930701995323
HLA-DQB1,1.154336536088134
COLGALT1,1.1490502343847468
SKAP2,1.1488423204721439
GBP4,1.1452501523634708
ADD2,1.145213029226556
PHLDA3,1.1417400359859948
LSP1,1.1385863636439773
APOBEC3C,1.1367004387167605
BPGM,1.136605178588673
MSR1,1.1366045138521226
HCK,1.1327868165062918
S100A8,1.132666751690822
TAPBP,1.1326245030564368
CD8A,1.1271508456116952
LDAF1,1.1266069216473498
IGFBP3,1.1229440107139783
MYO1F,1.1214126690445765
FLT1,1.1207912234746482
ERAP2,1.1201882300104182
HAVCR2,1.1186121198931318
TAP2,1.1179998529593198
ENPP2,1.1173045047754575
ANXA1,1.1158365635038585
CD36,1.1156667547463137
LILRB2,1.11455097575756
TM6SF1,1.1119556939325732
HBZ,1.1118659907649122
LAMA4,1.1116553272078746
ABCC3,1.1112524363142104
MCM6,1.1093997889987628
PCLO,1.1090107444745458
HLA-B,1.1081876344359585
HAPLN3,1.1077041996035522
OAS2,1.1054904902641882
TRPV2,1.0998798646845844
SURF6,1.0991070845265218
HLA-F,1.0975020646447617
ADA2,1.097290594241535
RUNX3,1.0972856978917502
IRX3,1.0953804655329231
NCEH1,1.094527172429343
TLR3,1.0944965931812924
PSMB9,1.0934138034748446
LGALS4,1.0903771762793635
NAIP,1.0887598617386336
VKORC1,1.0885436051374917
PPP1R3G,1.0882272258660681
SLC1A4,1.082242560836574
BTN3A1,1.080786484974299
CD53,1.0805284589155686
GYPC,1.0783366697989987
MCM4,1.0776995859627863
APOL2,1.0750692338064698
THEMIS2,1.074352860475234
ISG20,1.073456819050378
CORO1A,1.0730908179178957
APOBEC3G,1.071642884297558
TBXAS1,1.0700338543210766
LCP1,1.0692795660399286
HBQ1,1.068948604177423
MLKL,1.0680728794577645
MET,1.0666426019625708
VIM,1.0663316030551964
OLFML2A,1.0648254503706847
EVI2B,1.0601147418161858
MXRA5,1.057870566987786
LTBP2,1.0575356665713027
HLA-DMA,1.0564840335519736
MNDA,1.0561793720915758
SPARC,1.0553858109073526
COL5A2,1.0553462796560065
PTPRCAP,1.0534148958105658
STAT1,1.0519800608534677
CASP1,1.0477265311672923
CD163,1.0476881795045532
RSL1D1,1.0449758070492057
NEK6,1.044776047722568
FMNL1,1.0433497970130565
HSD3B7,1.0356303436679277
CD4,1.0324584121814049
RASSF2,1.0320787247027197
BIN2,1.0270845537398012
DOCK2,1.0268373755755493
CDK18,1.0235232944621167
CIT,1.0228500618936187
ADA,1.022614075545902
TRIP13,1.0210315418472544
CLIC6,1.0196822967243504
GRAMD4,1.0179572755494968
FERMT3,1.0152627129376504
MCM7,1.0151066627149994
OSMR,1.0142840364238443
MCM2,1.01244511285293
VAV1,1.011485113954013
RCN1,1.0090717243850695
MTCL1,1.0057207252101754
LRRC17,1.00344951414075
HLA-DRA,1.0024737921581934
PRDX4,1.0009924849119165
KCNAB2,1.0009319864573596
RBP1,-1.0001936041687278
KHK,-1.001595131708232
MRPS28,-1.0037521307014956
MRPS33,-1.0050895209530102
MYOC,-1.0055586331987443
COQ6,-1.0067227560699044
ANK3,-1.0083911163481893
SDHAF3,-1.009455490516997
DAP3,-1.0104748240182584
DLST,-1.0104764346328985
MRPS31,-1.010868550637044
PPIF,-1.0118488358114832
ALDH3A2,-1.0153054139133673
GALNT3,-1.0155301957210192
HS6ST2,-1.0159807157854703
C11orf54,-1.0173777884932338
PDHX,-1.017802490157948
NHLRC3,-1.0179718007497618
CHAD,-1.0187510483512674
FREM1,-1.0188196166164676
SDSL,-1.0216185834776157
DGLUCY,-1.0227406522747076
PLLP,-1.0231262748319558
SLC5A1,-1.02326561471647
CLCNKA,-1.0262552640061757
COA7,-1.0285104694951879
NUDT8,-1.0308467431630726
ACSS1,-1.0308584938365946
ATP6V1E1,-1.0315348235453827
TCAIM,-1.0319989583505333
MPC2,-1.0321408311469331
FH,-1.0331145813340923
MOXD1,-1.0333775454345442
MOCS1,-1.0370406416460813
FERMT1,-1.0379018204291062
ATP6V1D,-1.0389728557422806
RAB11FIP3,-1.0395419670792985
LYRM1,-1.0397834283518286
PIGR,-1.0439631335421946
ATP5PO,-1.0439726886452383
GLS,-1.045497196749527
PPA2,-1.0471509915452182
COQ4,-1.0473441728599442
RGN,-1.0473691348324043
INHBE,-1.0484397174537334
PLA2R1,-1.050196054267221
NDUFAF5,-1.0530042882109933
TXNRD2,-1.054356197446196
LRPPRC,-1.0553442477299777
GRHPR,-1.056050931300407
SMCO3,-1.0577889613630265
NEBL,-1.0597034356885116
GPHN,-1.0607946985569399
VWA2,-1.0614611154300073
IVD,-1.0619656071290695
TMEM141,-1.066179109282284
WDR72,-1.066358828782204
CPT2,-1.0677267837160165
PAPPA,-1.068041928382757
RIDA,-1.068569940864841
DACH1,-1.0686885792430907
COL4A1,-1.0689036948913433
PRDX3,-1.070773683146687
CORO2B,-1.0709494616454618
NAPEPLD,-1.0729755117602475
THNSL1,-1.074620424394796
ATP5PF,-1.0748537918848557
ATP5F1C,-1.075990601445098
NTN4,-1.076500409660194
TUBAL3,-1.0784449215609546
ANXA9,-1.0786975985115788
GLB1,-1.080427464344002
HSD11B1,-1.086988433737503
SDHD,-1.0870275703548482
SLC25A4,-1.0889954370523793
DECR1,-1.0896970444958023
KLHL14,-1.090450179691494
FOXRED1,-1.090839930128736
ALDH1A2,-1.092081549574204
SUSD2,-1.0951880201372697
OXCT1,-1.0953529425603292
PDE1A,-1.0984454125324024
MT-ND4,-1.098689089116877
CLCN5,-1.1010254957328987
HINT2,-1.10215109050033
ACSF3,-1.104408919233418
GCDH,-1.1060836529779559
DARS2,-1.1066601445578463
PPP1R1A,-1.1086332949945568
TTC36,-1.1087865601409816
ACP6,-1.1100423817752119
NAGLU,-1.111295161940019
EPHX2,-1.111933158748412
KCNJ15,-1.1134073880819604
SLC13A1,-1.1134403599778013
CALML4,-1.1146513074406548
GAS2,-1.1150879891490688
CDHR2,-1.1169344557812027
CHGB,-1.1176795707178266
SORT1,-1.117788034664435
HSDL2,-1.1183713708979315
ATP6V1H,-1.1192633228925029
HSPE1,-1.119527557447997
MCEE,-1.1204920850664712
ACSL1,-1.1212442293027125
C11orf52,-1.1231072816203673
CMC2,-1.124163603391115
BHMT,-1.1243381175210156
COX6A1,-1.1250908038264014
SDR39U1,-1.1262009617498017
INPP5J,-1.1269294988822878
CYP27A1,-1.1271350647602392
ACOT13,-1.1288843686115013
COL4A5,-1.1311839290104189
COL4A3,-1.1319002768888118
PCYT2,-1.132256470536018
F9,-1.1322982792358318
AGPAT3,-1.132796358749107
PDHB,-1.1328585751316498
UQCRFS1,-1.1330045433891938
LLGL2,-1.1336899271593497
ECHDC2,-1.136077238592941
CGNL1,-1.137251010605159
CNP,-1.1375738399337922
SLC16A4,-1.138346462689199
SIAE,-1.1389081271942545
ABHD10,-1.1398155746251746
CLDN2,-1.1402260424429915
CST3,-1.1403281129389442
RMND1,-1.1417701915342993
ARSF,-1.1419828268290075
SLC34A1,-1.143007729217705
SLC25A42,-1.1434769149856052
CHGA,-1.1454009398249194
LRP2,-1.1467769889134138
SLIT2,-1.1477100368364073
SLC22A4,-1.1492198629609465
CDHR5,-1.1493093754214607
TMEM132E,-1.149583927889447
MMUT,-1.1501738539384703
ATP6V0D2,-1.1511689536922336
SLC30A2,-1.1529060976795045
DLD,-1.153867964574488
KCNN3,-1.1551181267033732
ATP5IF1,-1.1553297998070238
ALDH7A1,-1.1562348839975949
SFXN5,-1.161315118712499
NDUFV2,-1.162632511443143
HACL1,-1.163244441862182
ITGB6,-1.1645123551277583
PALM,-1.1656278515108214
ANKRD2,-1.1681948428969517
NDUFB11,-1.1691859519735566
GLA,-1.1692009202171096
CYP4F2,-1.1692961996632372
DPYS,-1.1710028093495342
HSD17B8,-1.1711370016904235
LARS2,-1.1716204122307492
NTN1,-1.1720471452406045
COA4,-1.172369244697024
COBLL1,-1.1727424432286315
SCD5,-1.1743694875450517
CTSA,-1.174624785867268
ENOSF1,-1.174862437128727
NDUFB6,-1.1748800947645779
AFG1L,-1.1763016673096414
SLC6A6,-1.1769575466225486
PARD3B,-1.1783254147340494
TACO1,-1.1783370906994122
ATP6V1G1,-1.1796333366808733
MAN1C1,-1.1837152291765245
PDZK1,-1.1881778581230082
ART3,-1.1885386444324757
SCUBE1,-1.1893613805533274
RAP1GAP,-1.1907087397711427
CUBN,-1.1924067207997002
ANKS4B,-1.1925936165248778
ALDH1L1,-1.1952017610546937
THSD4,-1.1978014552065634
INHBC,-1.1993601954394157
PGAM2,-1.200153355047065
PDSS2,-1.2003786082398007
MTCH2,-1.2010901322542447
APOO,-1.2029280063994843
COQ3,-1.2029623738919881
USH1C,-1.2035679217198194
ABCC6,-1.205825813013085
MYO7B,-1.2064548320077033
MT-CO3,-1.2092962704838697
BCKDHB,-1.2130117690172697
EHHADH,-1.2157307947670029
SLC7A7,-1.216773762591276
FHIT,-1.2170469363946954
UQCRC1,-1.2181037487969162
PBLD,-1.22025557991314
ACOT11,-1.2206003647238546
PLA2G4F,-1.2207040917608456
FGL1,-1.2213094543687233
AK3,-1.2222912832673614
CCDC182,-1.2223889445083282
PLCXD3,-1.2227848571598061
CMTM4,-1.2237903898895808
ABCB1,-1.2261139704681163
COX4I1,-1.2262170191681183
ACSS3,-1.2301690702514265
VAT1L,-1.2321399129304675
AIFM1,-1.2330025492999312
COX7B,-1.2343223144961017
ZNF365,-1.236134928204211
CYP4F3,-1.2365907837211878
GALM,-1.236895970061726
NDUFB7,-1.2410651709838627
CRAT,-1.2421353962884094
PLIN4,-1.2430059435012786
TMEM72,-1.243118357169698
TAGLN3,-1.2436923255783614
ETFDH,-1.2444261451772147
CHCHD4,-1.2448389057973213
SLC27A2,-1.246608357449585
TRHDE,-1.2468198466804892
ETFA,-1.248582198337201
BHMT2,-1.2546148045177683
UGT3A1,-1.2577487238031786
CLYBL,-1.2578676324437241
QPRT,-1.2590114313515153
ANK2,-1.2595701457607151
SPINK5,-1.2604550011197602
STK33,-1.2614885172770518
C1orf116,-1.2630081946676988
SMTNL2,-1.2631491676431073
UQCR10,-1.26350948197724
CTH,-1.2640297799890192
SCPEP1,-1.270604415461606
CHP1,-1.2722496578483182
IDNK,-1.2728726169160578
NDUFB10,-1.2729312853964836
RENBP,-1.2731170859545993
UQCRC2,-1.276298862896753
SLC25A5,-1.2766001733520802
EPB41L3,-1.277256691456699
L2HGDH,-1.2784608434904579
SULT1C2,-1.2799729159902118
SUCLA2,-1.28014140024904
SMOC1,-1.2805595884992256
MPP7,-1.2815842854608404
FAM169A,-1.2838191300238349
AKR7A3,-1.2849007264318943
SCAMP5,-1.2866661575060583
NDUFB2,-1.2869505486528139
VWA8,-1.2871041522991653
MCCC2,-1.2876051447893875
PDHA1,-1.2879488986551366
PTPRD,-1.2881195783686827
ACO1,-1.2889935171862017
SIGIRR,-1.290714164243926
COX7A2,-1.2908084932468855
ASXL3,-1.291224534515884
SLC47A1,-1.2915550482681144
COX7A1,-1.292944099967046
PRSS1,-1.293235106411796
PRR15,-1.293941980908632
SLC5A9,-1.2945118102722974
NUBPL,-1.2946701435531074
BAIAP2,-1.2958116405737663
SLC2A9,-1.2966417957680374
SLC44A4,-1.3006587566095886
NDUFA13,-1.3012040556651894
DDN,-1.3026680723474036
ESPN,-1.3042733400991762
PLCL1,-1.3049971293612486
NDUFS2,-1.3055099065694773
IDH2,-1.3066257429627166
NDUFB1,-1.3080213926037474
PRKAR2B,-1.3096551035930701
SH3YL1,-1.3103517771321616
FMO1,-1.3103718815609742
AFMID,-1.3106021147558284
PTN,-1.3116662459140391
GPT2,-1.3123404400501688
PTGR3,-1.3126493643616806
ENTPD5,-1.314029710175573
DBT,-1.314620437108132
GGT5,-1.315557761006062
GPRC5A,-1.315845625990585
BDH2,-1.3167851160389064
ATP6V1B1,-1.317980973401933
OXNAD1,-1.3181157078285426
GCAT,-1.3228474823154217
GCSH,-1.3291195976744223
SLC22A13,-1.337547871925261
SLC34A3,-1.3379463019244366
SPON1,-1.3390598300910905
ACOT2,-1.3399403882247516
ECHDC3,-1.340099853172383
ACE,-1.3404115297781993
ALDH5A1,-1.3413508336589688
NDUFS3,-1.3415877744850377
MCCC1,-1.3421603591177764
FRAS1,-1.3425097899810217
MT-ND1,-1.3484821178427837
TACSTD2,-1.3486656157784984
NPHS1,-1.3502600477619942
NDUFB4,-1.3538110358575928
CCL14,-1.3541930877278932
ACAD10,-1.3543745404913308
SORD,-1.355004175690516
PDLIM2,-1.355605743230621
GPD1L,-1.3613006510224177
NDUFA8,-1.362370822343282
KCP,-1.3631615131642132
SUCLG1,-1.3637736898604567
COX17,-1.3643901743793263
COX5B,-1.3649452253211707
NDUFB9,-1.3649761329698324
ASPDH,-1.368323866080306
KCNJ16,-1.3693332298109497
NHERF1,-1.3707120726893196
ALDH2,-1.3731395353973914
ADHFE1,-1.3735708450378945
OAT,-1.3755804508540024
PLA2G2A,-1.3784707353515058
COA6,-1.3789016248037933
ACMSD,-1.379820500257672
DMGDH,-1.3809230127508427
GLYCTK,-1.3823493227672976
SDHB,-1.384560779504822
REG1A,-1.3867076494096373
GSTM3,-1.3878893268663912
PAPLN,-1.3884411619992636
BSND,-1.3934703164939637
MAGI2,-1.396157439571756
ALDH8A1,-1.4003820825110285
SLC5A8,-1.4064293877137337
AOX1,-1.4075026277547158
MT-CO1,-1.4089770362432297
MEX3A,-1.4102215584623263
TKFC,-1.4111408031253658
ADH1B,-1.4125946076052327
FXYD4,-1.4145157882322288
FDX1,-1.4148314291529243
PCSK1N,-1.4153841298229568
ACAT1,-1.4226253642630582
SLC12A3,-1.4241555473197693
MACROD1,-1.4250628738596434
LDHD,-1.4265359542471563
EPCAM,-1.4269762752953121
PHYHD1,-1.427493454825621
COX5A,-1.4305354225197138
GGACT,-1.4315232269019076
UGT2B7,-1.4328546334316368
SLC43A2,-1.4338222314917772
SLC17A3,-1.4342011767917888
CRHBP,-1.435493706134013
DUSP9,-1.4360196320070562
ALDH1B1,-1.4367130208973398
AP1M2,-1.4375835566241364
ATP6V0A4,-1.4383810270543815
MT-CO2,-1.4384897056050798
GPRC5C,-1.4387436046695052
SLC6A19,-1.4397505187551385
HMGCL,-1.443022515337603
L1CAM,-1.4451979690169456
PEPD,-1.4454925583081195
NDUFA11,-1.4484251419992762
HSPA2,-1.4488248956443968
EPB41L4B,-1.451901598021904
SLC26A6,-1.4519530821313704
COX6C,-1.4559369941788622
AGXT,-1.4560114278600678
MAP6,-1.4600109266757204
CTSH,-1.4619987407977142
GDPD3,-1.4649456065644564
TJP3,-1.4662783899149312
PPM1K,-1.4663658052667954
PRPH,-1.467903126834249
DSC1,-1.4681744573379425
BDH1,-1.468529152515935
MSRA,-1.4755423615987182
MTHFS,-1.4802159400012371
CYP27B1,-1.4834707379061134
D2HGDH,-1.48897496500642
PI3,-1.490617834944816
AK4,-1.4943261783769317
NDUFA5,-1.4951222743582044
CST6,-1.4958619143740979
PVALB,-1.4962635726714597
NDUFS7,-1.49752343301503
GRB14,-1.499277501074689
ATP1A1,-1.5004508592566324
UQCRQ,-1.501191886674032
FECH,-1.5016527715189734
PALM3,-1.5067196809134926
GKN1,-1.5102848131083553
DIO1,-1.5109607186551806
NPNT,-1.5114386425095472
NDUFA2,-1.512314989501265
HECW1,-1.5141962216558202
PTH1R,-1.517777792066151
CHDH,-1.517806153829842
ECI2,-1.5183602063438173
CA4,-1.5188752102470118
MTTP,-1.5213277555277576
PCCA,-1.5249361307886726
NOX4,-1.5265218661858801
SLC22A5,-1.526924024905807
TSPAN1,-1.529617172158634
AGXT2,-1.5302038050487197
ACADM,-1.5337028226867924
NDUFB5,-1.5354384469536955
HADH,-1.538069557480227
NAT8,-1.5390560805941378
AUH,-1.5413648906178565
UQCRB,-1.542228006581891
CHL1,-1.5438351643453145
CLCNKB,-1.5443138422556941
NDUFA12,-1.5454264300566851
FREM2,-1.5506065865326264
COA5,-1.5529885054162622
PCCB,-1.5569593305035458
HPGD,-1.5584407032774295
NDUFS1,-1.5605677518868115
AMT,-1.5622106133914275
OGDHL,-1.5641110425918006
ACAD8,-1.564704277475737
CBR4,-1.5657865016101025
PFKFB2,-1.5670090781146961
SLC22A12,-1.5700575555367218
CDH16,-1.5723919459547173
FTCD,-1.5767566189721811
MGAM,-1.5774177868633747
NDUFC1,-1.5774560883149207
CAPS,-1.579498260142683
TFF3,-1.5827821217119977
OR4C16,-1.5832758625702694
ATP6V1G3,-1.5838241512228424
GPAT3,-1.586299016223814
MIOX,-1.591312880753827
SPTBN2,-1.5946472478898857
PAPPA2,-1.5954533679156861
COL4A4,-1.5973906850722448
NDUFS8,-1.6003463507203533
TREH,-1.6007662228561201
ATP6V1C2,-1.6044450431336683
PTGER3,-1.6045043211726768
CALML3,-1.6064031524593632
VIL1,-1.6067092413692572
NACAD,-1.6148463357338227
AASS,-1.6149149563732672
COX7A2L,-1.6152056908049957
RALYL,-1.615692974425522
ACP3,-1.6157912543554478
STRA6,-1.6168338523997703
GPD1,-1.6173650628791336
COX7C,-1.629573316801011
SPINK1,-1.6299236404925588
SLC3A2,-1.6316106603110205
COX6B1,-1.6335085634207436
ACOX1,-1.633584499851524
NDUFA3,-1.634828019034041
COCH,-1.6355734518045009
MISP3,-1.6369358103648934
USP2,-1.6376553371905052
TST,-1.6394881982498852
NDUFB3,-1.6441099804024886
NDUFA9,-1.6447683698202087
SH3GL2,-1.6483760370347242
MT-ND2,-1.649502858864256
ACAA1,-1.6507031808696355
KCNJ10,-1.6517874025581978
NDUFC2,-1.6529876623345718
HMGCS2,-1.6560092609113868
PDZK1IP1,-1.6561996269523451
AADAT,-1.6563492463275036
SUGCT,-1.6566828219009904
SLC5A10,-1.6575194626800802
SLC15A2,-1.6591135317543426
PXMP4,-1.6613615243381576
SUOX,-1.6635727251286418
HSD11B2,-1.6662694604826758
AIF1L,-1.6705916693356542
SLC22A2,-1.6740323040227552
SLC5A12,-1.6783267980642784
NUDT6,-1.6831197116159937
BPHL,-1.6840384591514197
CADM4,-1.6847390184102524
G6PC1,-1.693885936328612
PROM2,-1.695983247184457
ACOX2,-1.699604988915365
ATP1B1,-1.7000462730964834
ACADSB,-1.7001329410184034
MUC13,-1.7072640345427454
NDUFS5,-1.7079807470358215
DEFB1,-1.7091479208010114
RNASE1,-1.7112482821385635
DHRS4,-1.7143310349717271
NPY,-1.7145289534596138
CYP4A11,-1.7216974320372338
FAM151A,-1.729172690103364
NDUFV1,-1.7319552066326416
DDC,-1.7328587085417424
SAT2,-1.7366734642631774
CPQ,-1.7375189926985808
GLDC,-1.7402223528996188
SLC9A3,-1.7433772462991182
PC,-1.7462562373205863
FGF1,-1.7526106367439536
RAB25,-1.7543253292299532
CLIC5,-1.7544114338653294
ABHD15,-1.7547634425937317
NDUFS6,-1.7577228501314421
NDUFAF8,-1.7617711187552638
SLC4A4,-1.7739945301250128
ECHS1,-1.7749810484216804
FMO4,-1.7802645347473651
ATP6V1G2,-1.7836319623802683
NDUFA10,-1.786177334753617
SLC16A7,-1.786626901073639
NDUFA6,-1.7913012472585563
RNASE6,-1.791521811036809
DNAJC28,-1.801429786908723
SFXN2,-1.8028155296841422
GPX3,-1.8111172699830282
DPEP1,-1.8158115535926658
ACSM2A,-1.816694089941581
RDH12,-1.816728530771621
CASR,-1.8192247912834363
PEBP4,-1.8217983119195837
SFRP1,-1.8320029153214064
CMC1,-1.8331404713492518
NAPSA,-1.8348102733196385
ANPEP,-1.8474962655908647
CPNE6,-1.8518897394703009
NDUFB8,-1.855205444502445
CRABP1,-1.8564326458053104
FBP1,-1.8598404949654603
PRODH2,-1.8650322364766858
FXYD2,-1.8652400805495069
CYP17A1,-1.8668390826220536
FBP2,-1.8700346207330625
CLDN10,-1.872587315346139
SARDH,-1.873090622744303
PCK1,-1.8836862848076084
NPC2,-1.8841320725049506
ASS1,-1.8880861155231
GJB1,-1.8923557278176775
PLA2G1B,-1.8983014008634094
HIBCH,-1.9064647974285551
PHYH,-1.9151314280234149
SLC13A2,-1.9165922242407645
GGH,-1.9339763739242992
ACSM2B,-1.9379547225278333
PCK2,-1.9381213530574861
SLC25A10,-1.9437006859912564
PSAT1,-1.9442233539228662
GATM,-1.945257090446003
SUCLG2,-1.9475774167977369
ALDH4A1,-1.9491142682013038
GLYATL1,-1.953907224908972
HOGA1,-1.9540571047449766
AQP2,-1.9559666234063189
DNAJC12,-1.962459190331679
LEAP2,-1.9631671862174735
LAD1,-1.9686788887871827
ACSM3,-1.9733146828691186
ADH1C,-1.9736821695599034
MTARC2,-1.9745828858550711
MME,-1.9808545925617562
ACY1,-1.9815654980564321
ENPP6,-1.9867839763846515
TUBB2B,-1.9900028485086358
GYS2,-1.9948617240134636
FMO5,-2.004430394438658
DCXR,-2.00742611623689
ALDH6A1,-2.007443056361617
SLC13A3,-2.011649799873713
NDUFS4,-2.0176081192637643
IYD,-2.0311092696378714
GM2A,-2.0406239130506325
AGMAT,-2.055124689738539
MCCD1,-2.0595150741385004
NDUFA4,-2.0656072182351832
SLC23A1,-2.066871427152854
NPHS2,-2.0759868497337375
SLPI,-2.076833521528503
SLC5A2,-2.0821443083923556
GLYAT,-2.089321724657057
GLOD5,-2.1061251894669875
EPN3,-2.118803521929741
XPNPEP2,-2.1190129043085157
TSPAN8,-2.124693858949121
ADH6,-2.1391500294262062
MT2A,-2.1665426482204357
WFDC2,-2.1712434012625876
HAO2,-2.19609087007567
REEP6,-2.240197621973187
DAO,-2.2455497168980787
SLC7A9,-2.2547023694724246
PAH,-2.2708393526395474
PIPOX,-2.2792936992333668
TINAG,-2.2957017246826696
SLC22A6,-2.2992401087813543
ACSF2,-2.3040031999754853
TLR10,-2.3089451069084874
SLC36A2,-2.3105289704832113
SLC47A2,-2.312519412226981
ALDOB,-2.316845703238254
ABAT,-2.3175867942595745
SMIM24,-2.3239668371707594
SLC12A1,-2.401765260767011
MFSD4A,-2.408606653347922
HPD,-2.4236110630661107
SLC22A8,-2.426702926832225
MT1A,-2.4366844893026083
SLC7A8,-2.4765519561145157
UMOD,-2.4813220185369866
FABP1,-2.4995578987425904
S100A2,-2.555374134869162
CALB1,-2.753242873699773
MT1X,-2.7583659432540673
MT1E,-2.848358479208354
MT1F,-3.1606567715826177
MT1G,-3.2056117878776607
MT1H,-3.2867180267572382
